task_id,correct_shape,correct_size,generated_shape,generated_size,accuracy,failed,error_type,correct_grid,generated_grid,source_file,shape_match,size_diff,size_ratio
0e206a2e,"(24, 19)",456,"(1, 42)",42.0,0.0,False,,"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 2 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 4 5 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 5 0 5 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 5 1 5 5 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 5 0 5 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,llada_parallel.out,False,414.0,0.09210526315789473
10fcaaa3,"(12, 10)",120,"(6, 8)",48.0,0.0,False,,"0 3 0 0 0 0 3 0 0 0
8 0 8 0 0 8 0 8 0 0
0 0 8 0 8 0 0 8 0 8
0 0 0 3 0 0 0 0 3 0
8 0 8 0 8 8 0 8 0 8
8 3 8 0 0 8 3 8 0 0
8 3 8 0 0 8 3 8 0 0
8 0 8 0 0 8 0 8 0 0
0 0 8 0 8 0 0 8 0 8
0 0 0 3 0 0 0 0 3 0
8 0 8 0 8 8 0 8 0 8
0 3 0 0 0 0 3 0 0 0","0 3 0 0 0 3 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 3 0
0 0 0 0 0
0 3 0 0 0 3 0 0",llada_parallel.out,False,72.0,0.4
11852cab,"(10, 10)",100,"(1, 42)",42.0,0.0,False,,"0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 1 0 4 0 1 0 0 0 0
0 0 2 0 2 0 0 0 0 0
0 4 0 1 0 4 0 0 0 0
0 0 2 0 2 0 0 0 0 0
0 1 0 4 0 1 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 4 0 1 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0,llada_parallel.out,False,58.0,0.42
1190e5a7,"(5, 3)",15,"(3, 33)",99.0,0.0,False,,"1 1 1
1 1 1
1 1 1
1 1 1
1 1 1","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1
1 1 1",llada_parallel.out,False,84.0,6.6
137eaa0f,"(3, 3)",9,"(3, 10)",30.0,0.0,False,,"4 9 8
9 5 4
9 2 2","0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0",llada_parallel.out,False,21.0,3.3333333333333335
150deff5,"(8, 11)",88,"(4, 11)",44.0,0.0,False,,"0 0 8 8 0 2 2 2 0 0 0
0 0 8 8 0 0 2 0 0 0 0
0 2 2 2 8 8 2 0 0 0 0
0 0 0 0 8 8 2 0 0 0 0
0 0 0 2 2 2 0 0 0 0 0
0 0 0 0 0 8 8 0 0 0 0
0 0 0 0 0 8 8 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0","0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0",llada_parallel.out,False,44.0,0.5
178fcbfb,"(12, 11)",132,"(4, 11)",44.0,0.0,False,,"3 3 3 3 3 3 3 3 3 3 3
0 0 0 0 2 0 0 0 0 2 0
0 0 0 0 2 0 0 0 0 2 0
3 3 3 3 3 3 3 3 3 3 3
0 0 0 0 2 0 0 0 0 2 0
0 0 0 0 2 0 0 0 0 2 0
0 0 0 0 2 0 0 0 0 2 0
1 1 1 1 1 1 1 1 1 1 1
0 0 0 0 2 0 0 0 0 2 0
1 1 1 1 1 1 1 1 1 1 1
0 0 0 0 2 0 0 0 0 2 0
0 0 0 0 2 0 0 0 0 2 0","3 3 3 3 3 3 3 3 3 3 3
2 2 2 2 2 2 2 2 2 2 2
3 3 3 3 3 3 3 3 3
1 1 1 1 1 1 1 1 1 1 1",llada_parallel.out,False,88.0,0.3333333333333333
1a07d186,"(19, 26)",494,"(3, 14)",42.0,0.0,False,,"0 0 0 0 2 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 4 0 0 0 0 0
0 0 0 0 2 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 4 0 0 0 0 0
0 0 0 0 2 2 0 0 0 0 0 3 0 0 0 0 0 0 0 0 4 0 0 0 0 0
0 0 0 0 2 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 4 0 0 0 0 0
0 0 0 0 2 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 4 0 0 0 0 0
0 0 0 0 2 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 4 0 0 0 0 0
0 0 0 0 2 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 4 0 0 0 0 0
0 0 0 0 2 0 0 0 0 0 0 3 0 0 0 0 0 0 0 4 4 0 0 0 0 0
0 0 0 0 2 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 4 0 0 0 0 0
0 0 0 0 2 0 0 0 0 0 0 3 3 0 0 0 0 0 0 0 4 0 0 0 0 0
0 0 0 2 2 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 4 0 0 0 0 0
0 0 0 0 2 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 4 0 0 0 0 0
0 0 0 0 2 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 4 0 0 0 0 0
0 0 0 0 2 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 4 0 0 0 0 0
0 0 0 0 2 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 4 0 0 0 0 0
0 0 0 0 2 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0 4 4 0 0 0 0
0 0 0 0 2 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 4 0 0 0 0 0
0 0 0 0 2 0 0 0 0 0 0 3 3 0 0 0 0 0 0 0 4 0 0 0 0 0
0 0 0 0 2 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 4 0 0 0 0 0","0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0",llada_parallel.out,False,452.0,0.08502024291497975
1b2d62fb,"(5, 3)",15,"(5, 3)",15.0,60.0,False,,"0 0 8
8 0 0
0 0 8
0 0 0
8 0 0","0 0 0
0 0 0
0 0 0
0 8 8
0 0 0",llada_parallel.out,True,0.0,1.0
1b60fb0c,"(10, 10)",100,"(1, 42)",42.0,0.0,False,,"0 0 0 0 1 0 0 0 0 0
0 0 1 1 1 1 1 0 0 0
0 0 0 0 1 1 0 0 1 0
0 2 0 0 1 0 0 0 1 0
0 2 2 0 1 1 1 1 1 1
2 2 2 2 1 1 0 1 1 0
0 2 0 0 0 1 0 0 1 0
0 2 0 0 1 1 0 0 0 0
0 0 0 1 1 1 1 1 0 0
0 0 0 0 0 1 0 0 0 0",0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0,llada_parallel.out,False,58.0,0.42
1bfc4729,"(10, 10)",100,"(1, 42)",42.0,0.0,False,,"2 2 2 2 2 2 2 2 2 2
2 0 0 0 0 0 0 0 0 2
2 2 2 2 2 2 2 2 2 2
2 0 0 0 0 0 0 0 0 2
2 0 0 0 0 0 0 0 0 2
8 0 0 0 0 0 0 0 0 8
8 0 0 0 0 0 0 0 0 8
8 8 8 8 8 8 8 8 8 8
8 0 0 0 0 0 0 0 0 8
8 8 8 8 8 8 8 8 8 8",2 2 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 2 2 0,llada_parallel.out,False,58.0,0.42
1c786137,"(8, 9)",72,"(5, 8)",40.0,0.0,False,,"2 0 8 1 1 1 0 1 0
8 1 0 8 2 8 1 2 8
8 2 0 2 0 1 1 8 1
0 1 8 8 1 1 8 1 8
0 1 8 8 0 8 0 2 0
0 8 8 2 8 8 8 8 8
8 0 2 0 0 0 0 8 8
0 2 8 8 1 2 0 0 2","0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0",llada_parallel.out,False,32.0,0.5555555555555556
1caeab9d,"(10, 10)",100,"(4, 10)",40.0,0.0,False,,"0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 1 1 0 4 4 0 0 2 2
0 1 1 0 4 4 0 0 2 2
1 0 0 4 0 0 0 2 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0","0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0",llada_parallel.out,False,60.0,0.4
1cf80156,"(4, 6)",24,"(10, 4)",40.0,0.0,False,,"0 0 6 6 6 6
0 0 6 0 0 0
6 0 6 0 0 0
6 6 6 6 0 0","0 6 6 6
0 0 6 0
6 6 6 0
6 0 6 0
6 6 6 6
6 0 6 0
6 6 6 6 0
0 0 6 0
6 6 6 6 0
0 0 6 6",llada_parallel.out,False,16.0,1.6666666666666667
1e0a9b12,"(5, 5)",25,"(5, 5)",25.0,76.0,False,,"0 0 0 0 0
0 0 0 0 0
5 0 0 0 0
5 2 0 4 0
5 2 6 4 3","0 0 0 0 0
0 0 0 0 0
0 0 6 0 0
5 2 0 4 0
5 0 0 0 0",llada_parallel.out,True,0.0,1.0
1e32b0e9,"(17, 17)",289,"(1, 42)",42.0,0.0,False,,"0 0 0 0 0 9 0 0 0 0 0 9 0 0 0 0 0
0 4 4 4 0 9 0 4 4 9 0 9 0 9 9 9 0
0 4 0 4 0 9 0 9 0 9 0 9 0 9 0 9 0
0 4 4 4 0 9 0 9 9 9 0 9 0 9 9 9 0
0 0 0 0 0 9 0 0 0 0 0 9 0 0 0 0 0
9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9
0 0 0 0 0 9 0 0 0 0 0 9 0 0 0 0 0
0 9 4 9 0 9 0 9 9 9 0 9 0 9 9 9 0
0 4 0 4 0 9 0 9 0 9 0 9 0 9 0 9 0
0 9 4 9 0 9 0 4 4 9 0 9 0 9 9 9 0
0 0 0 0 0 9 0 0 0 0 0 9 0 0 0 0 0
9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9
0 0 0 0 0 9 0 0 0 0 0 9 0 0 0 0 0
0 9 9 9 0 9 0 9 9 9 0 9 0 9 9 9 0
0 9 0 9 0 9 0 4 0 4 0 9 0 9 0 9 0
0 9 9 9 0 9 0 9 9 9 0 9 0 9 9 9 0
0 0 0 0 0 9 0 0 0 0 0 9 0 0 0 0 0",0 0 0 0 0 9 0 0 0 0 0 9 0 0 0 0 0 0 4 4 4 0 9 0 4 4 0 0 9 0 0 0 0 0 0 4 0 4 0 9 0 0,llada_parallel.out,False,247.0,0.1453287197231834
1f0c79e5,"(9, 9)",81,"(5, 9)",45.0,0.0,False,,"0 0 8 8 8 0 0 8 8
0 0 0 8 8 8 8 8 8
0 0 0 0 8 8 8 8 0
0 0 0 0 0 8 8 8 0
0 0 0 0 0 0 8 8 8
0 0 0 0 0 0 0 8 8
0 0 0 0 0 0 0 0 8
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0","0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0",llada_parallel.out,False,36.0,0.5555555555555556
1f642eb9,"(10, 10)",100,"(1, 42)",42.0,0.0,False,,"0 0 0 6 0 2 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
9 0 9 6 8 2 0 0 0 0
0 0 8 8 8 7 0 0 0 7
3 0 3 8 8 8 0 0 0 0
4 0 4 8 6 8 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 6 0 0 0 0 0",0 0 0 6 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 8 8 8 8 0 0 0 0 0 0,llada_parallel.out,False,58.0,0.42
1f876c06,"(10, 10)",100,"(1, 42)",42.0,0.0,False,,"0 0 0 0 0 0 3 0 0 9
7 0 0 0 0 3 0 0 9 0
0 7 0 0 3 0 0 9 0 0
0 0 7 3 0 0 9 0 0 0
6 0 0 7 0 0 0 0 0 0
0 6 0 0 7 0 0 0 0 4
0 0 6 0 0 7 0 0 4 0
0 0 0 6 0 0 7 4 0 0
0 0 0 0 0 0 4 0 0 0
0 0 0 0 0 4 0 0 0 0",0 0 0 0 0 0 3 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,llada_parallel.out,False,58.0,0.42
1fad071e,"(1, 5)",5,"(4, 11)",44.0,0.0,False,,1 1 1 0 0,"1 1 0 0 0 0 0 0 0 0 0
1 1 0 0 0 0 0 0 0 0
1 1 0 0 0 0 0 0 0 0 0
1 1 0 0 0 0 0 0 0 0",llada_parallel.out,False,39.0,8.8
2013d3e2,"(3, 3)",9,"(3, 3)",9.0,88.89,False,,"0 0 0
0 4 4
8 8 3","0 0 8
0 4 4
8 8 3",llada_parallel.out,True,0.0,1.0
2204b7a8,"(10, 10)",100,"(1, 40)",40.0,0.0,False,,"5 5 0 0 0 0 0 0 0 4
5 0 0 0 0 4 0 0 4 4
5 0 0 0 0 0 0 0 0 4
5 0 0 5 0 0 0 0 0 4
5 0 0 0 0 0 4 0 0 4
5 0 0 5 0 0 0 0 0 4
5 0 0 0 0 0 0 0 0 4
5 0 0 0 5 0 0 0 0 4
5 0 5 0 0 0 4 0 0 4
5 0 0 0 0 0 0 0 0 4",5 3 0 0 0 0 0 0 0 4 5 0 0 0 0 3 0 0 3 4 5 0 0 0 0 0 0 0 0 4 5 0 0 3 0 0 0 0 0 4,llada_parallel.out,False,60.0,0.4
22168020,"(10, 10)",100,"(1, 42)",42.0,0.0,False,,"0 0 0 0 0 0 0 0 0 0
4 4 4 4 0 0 0 0 0 0
0 4 4 0 7 7 7 7 7 7
0 4 4 0 0 7 7 7 7 0
0 0 0 0 0 0 7 7 0 0
0 0 0 0 0 0 7 7 0 0
0 3 3 3 3 3 3 0 0 0
0 0 3 3 3 3 0 0 0 0
0 0 0 3 3 0 0 0 0 0
0 0 0 3 3 0 0 0 0 0",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,llada_parallel.out,False,58.0,0.42
22233c11,"(10, 10)",100,"(1, 42)",42.0,0.0,False,,"8 8 8 0 0 0 0 0 0 0
8 8 8 0 0 0 0 0 0 0
0 0 0 0 0 0 3 3 3 0
0 0 0 0 0 0 3 3 3 0
0 0 0 0 0 0 3 3 3 0
0 0 0 3 3 3 0 0 0 0
0 0 0 3 3 3 0 0 0 0
0 0 0 3 3 3 0 0 0 0
0 0 0 0 0 0 0 0 0 8
0 0 0 0 0 0 0 0 0 8",0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,llada_parallel.out,False,58.0,0.42
